"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","61479","65371"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","64832","64832"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","10890","11172"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","19063","20636"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","21461","21461"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","12189","12232"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","12914","12914"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2696","2696"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","186636","257783"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","222174","222174"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","39191","40919"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","94069","99125"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","145568","148142"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","25908","30569"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","29933","29933"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","6682","7651"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","39092","46287"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","42014","42014"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1618","1618"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7961","8162"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","14751","16071"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","17951","17951"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","9043","9913"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","7174","7174"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3315","3315"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","69847","137482"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","109536","109536"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","21970","24272"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","54727","61349"
