"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","58262","78744"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","71765","71765"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1023","1023"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","13491","13870"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","24517","26202"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","26800","26800"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","11458","11943"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","14040","14040"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4396","4396"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","134130","274792"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","191592","191592"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","39264","43141"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","107831","116838"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","109376","111808"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","18462","23045"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","25151","25151"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","6368","6423"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","45407","49422"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","47599","47599"
