Institute Name,Branch Name,Quota,Category,Seat Pool,Vacancy
"Assam University, Silchar",Computer Science and Engineering,AI,OPEN,Female-only (including Supernumerary),1
"Assam University, Silchar",Computer Science and Engineering,AI,OPEN,Gender-Neutral,8
"Assam University, Silchar",Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,2
"Assam University, Silchar",Computer Science and Engineering,AI,GEN-EWS,Gender-Neutral,2
"Assam University, Silchar",Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,7
"Assam University, Silchar",Computer Science and Engineering,AI,SC,Gender-Neutral,3
"Assam University, Silchar",Computer Science and Engineering,AI,ST,Gender-Neutral,1
"Assam University, Silchar",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),1
"Assam University, Silchar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,4
"Assam University, Silchar",Computer Science and Engineering,HS,OPEN (PwD),Gender-Neutral,2
"Assam University, Silchar",Computer Science and Engineering,HS,GEN-EWS,Female-only (including Supernumerary),1
"Assam University, Silchar",Computer Science and Engineering,HS,GEN-EWS,Gender-Neutral,2
"Assam University, Silchar",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,3
"Assam University, Silchar",Computer Science and Engineering,HS,SC,Gender-Neutral,2
"Assam University, Silchar",Computer Science and Engineering,HS,ST,Gender-Neutral,1
"Assam University, Silchar",Electronics and Communication Engineering,AI,OPEN,Female-only (including Supernumerary),2
"Assam University, Silchar",Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,9
"Assam University, Silchar",Electronics and Communication Engineering,AI,OPEN (PwD),Gender-Neutral,1
"Assam University, Silchar",Electronics and Communication Engineering,AI,GEN-EWS,Gender-Neutral,2
"Assam University, Silchar",Electronics and Communication Engineering,AI,OBC-NCL,Female-only (including Supernumerary),1
"Assam University, Silchar",Electronics and Communication Engineering,AI,OBC-NCL,Gender-Neutral,7
"Assam University, Silchar",Electronics and Communication Engineering,AI,SC,Female-only (including Supernumerary),1
"Assam University, Silchar",Electronics and Communication Engineering,AI,SC,Gender-Neutral,3
"Assam University, Silchar",Electronics and Communication Engineering,HS,OPEN,Female-only (including Supernumerary),2
"Assam University, Silchar",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,5
"Assam University, Silchar",Electronics and Communication Engineering,HS,OPEN (PwD),Gender-Neutral,2
"Assam University, Silchar",Electronics and Communication Engineering,HS,GEN-EWS,Gender-Neutral,3
"Assam University, Silchar",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,5
"Assam University, Silchar",Electronics and Communication Engineering,HS,SC,Female-only (including Supernumerary),1
"Assam University, Silchar",Electronics and Communication Engineering,HS,SC,Gender-Neutral,1
"Assam University, Silchar",Electronics and Communication Engineering,HS,ST,Gender-Neutral,1
"Assam University, Silchar",Agricultural Engineering,AI,OPEN,Female-only (including Supernumerary),2
"Assam University, Silchar",Agricultural Engineering,AI,OPEN,Gender-Neutral,9
"Assam University, Silchar",Agricultural Engineering,AI,OPEN (PwD),Gender-Neutral,2
"Assam University, Silchar",Agricultural Engineering,AI,GEN-EWS,Gender-Neutral,3
"Assam University, Silchar",Agricultural Engineering,AI,OBC-NCL,Female-only (including Supernumerary),1
"Assam University, Silchar",Agricultural Engineering,AI,OBC-NCL,Gender-Neutral,7
"Assam University, Silchar",Agricultural Engineering,AI,SC,Female-only (including Supernumerary),1
"Assam University, Silchar",Agricultural Engineering,AI,SC,Gender-Neutral,1
"Assam University, Silchar",Agricultural Engineering,AI,ST,Gender-Neutral,1
