Institute Name,Branch Name,Quota,Category,Seat Pool,Vacancy
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,HS,OPEN,Female-only (including Supernumerary),1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,HS,OPEN,Gender-Neutral,7
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,HS,GEN-EWS,Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,HS,SC,Female-only (including Supernumerary),1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,HS,SC,Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,HS,ST,Gender-Neutral,2
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,OPEN,Female-only (including Supernumerary),2
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,OPEN,Gender-Neutral,2
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,OPEN (PwD),Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,GEN-EWS,Female-only (including Supernumerary),1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,GEN-EWS,Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,OBC-NCL,Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Bio Technology,OS,SC,Female-only (including Supernumerary),1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,OPEN,Female-only (including Supernumerary),1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,OPEN,Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,OPEN (PwD),Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,OBC-NCL,Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,OBC- NCL(PwD),Gender-Neutral,1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,ST,Female-only (including Supernumerary),1
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Chemical Engineering,HS,ST,Gender-Neutral,3
